brand,price,product
Apple,398.0,Apple iPhone 6 32GB Grijs
Samsung,349.0,Samsung Galaxy A5 (2017) Zwart
Apple,809.0,Apple iPhone 8 64GB Space Grey
Motorola,249.0,Motorola Moto G5 Plus Grijs
Huawei,199.0,Huawei P8 Lite (2017) Zwart
Samsung,249.0,Samsung Galaxy Xcover 4
Samsung,249.0,Samsung Galaxy J5 (2017) Dual Sim Zwart
Samsung,699.0,Samsung Galaxy S8 Zwart
Apple,784.0,Apple iPhone 8 64GB Goud
Apple,809.0,Apple iPhone 8 64GB Zilver
Samsung,349.0,Samsung Galaxy A5 (2017) Goud
Motorola,249.0,Motorola Moto G5 Plus Goud
Huawei,199.0,Huawei P8 Lite (2017) Goud
Fysic,34.95,Fysic FM-7550 Senioren Telefoon
Motorola,149.0,Motorola Moto E4 Grijs
Samsung,249.0,Samsung Galaxy J5 (2017) Dual Sim Blauw
Samsung,699.0,Samsung Galaxy S8 Zilver
Samsung,699.0,Samsung Galaxy S8 Grijs
Huawei,199.0,Huawei P8 Lite (2017) Wit
Samsung,699.0,Samsung Galaxy S8 Roze
Samsung,349.0,Samsung Galaxy A5 (2017) Roze
Samsung,699.0,Samsung Galaxy S8 Blauw
Samsung,249.0,Samsung Galaxy J5 (2017) Dual Sim Goud
Motorola,149.0,Motorola Moto E4 Goud
Samsung,479.0,Samsung Galaxy S7 Zwart
Samsung,269.0,Samsung Galaxy A3 (2017) Zwart
Samsung,139.0,Samsung Galaxy J3 (2016) Zwart
Apple,599.0,Apple iPhone 7 32GB Zwart
Apple,349.0,Apple iPhone SE 32GB Zilver
Motorola,179.0,Motorola Moto G5 Grijs
Apple,349.0,Apple iPhone SE 32GB Space Gray
Fysic,37.95,Fysic FM-7500 senioren telefoon
Samsung,249.0,Samsung Galaxy J5 (2017) Zwart
Apple,529.0,Apple iPhone 6s 32GB Space Gray
Huawei,299.0,Huawei P10 Lite Zwart
Huawei,137.0,Huawei Y6 (2017) Grijs
Motorola,299.0,Motorola Moto G5S Plus Grijs
Motorola,149.0,Motorola Moto G4 Zwart
Huawei,349.0,Huawei Mate 10 Lite Zwart
Apple,899.0,Apple iPhone 8 Plus 64GB Space Grey
Nokia,59.99,Nokia 3310 3G Grijs
