brand,highlight1,highlight2,highlight3,price,product,rating,reviews
Apple,iOS 10,"4,7 inch Retina HD scherm",32 GB opslagcapaciteit,398.0,Apple iPhone 6 32GB Grijs,4.5,856
Samsung,Android 6.0 Marshmallow,"5,2 inch Full HD scherm",32 GB opslagcapaciteit,349.0,Samsung Galaxy A5 (2017) Zwart,4.5,577
Apple,iOS 11,"4,7 inch Retina HD scherm",64 GB opslagcapaciteit,809.0,Apple iPhone 8 64GB Space Grey,4.5,70
Motorola,Android 7.0 Nougat,"5,2 inch Full HD scherm",32 GB opslagcapaciteit,249.0,Motorola Moto G5 Plus Grijs,4.5,419
Huawei,Android 7.0 Nougat,"5,2 inch Full HD-scherm",16 GB opslagcapaciteit,199.0,Huawei P8 Lite (2017) Zwart,4.5,270
Samsung,Android 7.0 Nougat,5 inch scherm,16 GB opslagcapaciteit,249.0,Samsung Galaxy Xcover 4,4.5,25
Samsung,Android 7.1 Nougat,"5,2 inch HD scherm",16 GB opslagcapaciteit,249.0,Samsung Galaxy J5 (2017) Dual Sim Zwart,4.5,73
Samsung,Android 7.0 Nougat,"5,8 inch Quad HD scherm",64 GB opslagcapaciteit,699.0,Samsung Galaxy S8 Zwart,4.5,563
Apple,iOS 11,"4,7 inch Retina HD scherm",64 GB opslagcapaciteit,784.0,Apple iPhone 8 64GB Goud,4.5,70
Samsung,Android 6.0 Marshmallow,"5,2 inch Full HD scherm",32 GB opslagcapaciteit,349.0,Samsung Galaxy A5 (2017) Goud,4.5,577
Apple,iOS 11,"4,7 inch Retina HD scherm",64 GB opslagcapaciteit,809.0,Apple iPhone 8 64GB Zilver,4.5,70
Fysic,Vereenvoudigde bediening,Grote letters en cijferweergave,Alarmknop,34.95,Fysic FM-7550 Senioren Telefoon,4.5,32
Motorola,Android 7.0 Nougat,"5,2 inch Full HD scherm",32 GB opslagcapaciteit,249.0,Motorola Moto G5 Plus Goud,4.5,419
Huawei,Android 7.0 Nougat,"5,2 inch Full HD-scherm",16 GB opslagcapaciteit,199.0,Huawei P8 Lite (2017) Goud,4.5,270
Motorola,Android 7.1 Nougat,5 inch HD scherm,16 GB opslagcapaciteit,149.0,Motorola Moto E4 Grijs,4.5,12
Samsung,Android 7.0 Nougat,"5,2 inch HD scherm",16 GB opslagcapaciteit,249.0,Samsung Galaxy J5 (2017) Dual Sim Blauw,4.5,73
Samsung,Android 7.0 Nougat,"5,8 inch Quad HD scherm",64 GB opslagcapaciteit,699.0,Samsung Galaxy S8 Zilver,4.5,563
Huawei,Android 7.0 Nougat,"5,2 inch Full HD-scherm",16 GB opslagcapaciteit,199.0,Huawei P8 Lite (2017) Wit,4.5,270
Samsung,Android 7.0 Nougat,"5,8 inch Quad HD scherm",64 GB opslagcapaciteit,699.0,Samsung Galaxy S8 Grijs,4.5,563
Samsung,Android 7.0 Nougat,"5,8 inch Quad HD scherm",64 GB opslagcapaciteit,699.0,Samsung Galaxy S8 Blauw,4.5,563
Samsung,Android 7.0 Nougat,"5,8 inch Quad HD scherm",64 GB opslagcapaciteit,699.0,Samsung Galaxy S8 Roze,4.5,563
Samsung,Android 6.0 Marshmallow,"5,2 inch Full HD scherm",32 GB opslagcapaciteit,349.0,Samsung Galaxy A5 (2017) Roze,4.5,577
Samsung,Android 7.0 Nougat,"5,2 inch HD scherm",16 GB opslagcapaciteit,249.0,Samsung Galaxy J5 (2017) Dual Sim Goud,4.5,73
Motorola,Android 7.1 Nougat,5 inch HD scherm,16 GB opslagcapaciteit,149.0,Motorola Moto E4 Goud,4.5,12
Samsung,Android 6.0 Marshmallow,"5,1 inch Quad HD scherm",32 GB opslagcapaciteit,479.0,Samsung Galaxy S7 Zwart,4.5,335
Samsung,Android 6.0 Marshmallow,"4,7 inch HD scherm",16 GB opslagcapaciteit,269.0,Samsung Galaxy A3 (2017) Zwart,4.5,348
Apple,iOS 10,"4,7 inch Retina HD scherm",32 GB opslagcapaciteit,599.0,Apple iPhone 7 32GB Zwart,4.5,1049
Samsung,Android 5.1 Lollipop,5 inch HD scherm,8 GB opslagcapaciteit,139.0,Samsung Galaxy J3 (2016) Zwart,4.5,491
Apple,iOS 9.3,4 inch Retina scherm,32 GB opslagcapaciteit,349.0,Apple iPhone SE 32GB Zilver,4.5,2030
Apple,iOS 9.3,4 inch Retina scherm,32 GB opslagcapaciteit,349.0,Apple iPhone SE 32GB Space Gray,4.5,2030
Motorola,Android 7.0 Nougat,"5,0 inch Full HD scherm",16 GB opslagcapaciteit,179.0,Motorola Moto G5 Grijs,4.5,439
Fysic,Vereenvoudigde bediening,Grote letters en cijferweergave,Alarmtoets,37.95,Fysic FM-7500 senioren telefoon,4.5,438
Apple,iOS 9,"4,7 inch Retina HD scherm",32 GB opslagcapaciteit,529.0,Apple iPhone 6s 32GB Space Gray,4.5,1228
Samsung,Android 7.1 Nougat,"5,2 inch HD scherm",16 GB opslagcapaciteit,249.0,Samsung Galaxy J5 (2017) Zwart,4.5,52
Huawei,Android 7.0 Nougat,"5,2 inch Full HD scherm",32 GB opslagcapaciteit,299.0,Huawei P10 Lite Zwart,4.5,159
Huawei,Android 7.1 Nougat,"5,9 inch Full HD scherm",64 GB opslagcapaciteit,349.0,Huawei Mate 10 Lite Zwart,5,1
Motorola,Android 7.1 Nougat,"5,5 inch Full HD scherm",32 GB opslagcapaciteit,299.0,Motorola Moto G5S Plus Grijs,4.5,26
Huawei,Android 6.0 Marshmallow,5 inch HD scherm,16 GB opslagcapaciteit,137.0,Huawei Y6 (2017) Grijs,4.5,25
Motorola,Android 6.0 Marshmallow,"5,5 inch Full HD scherm",16 GB opslagcapaciteit,149.0,Motorola Moto G4 Zwart,4.5,508
Apple,iOS 11,"5,5 inch Retina HD scherm",64 GB opslagcapaciteit,899.0,Apple iPhone 8 Plus 64GB Space Grey,4.5,91
Nokia,Merkgebonden besturingssysteem,"2,4 inch kleurenscherm",64 MB opslagcapaciteit,59.99,Nokia 3310 3G Grijs,4.5,13
Wileyfox,Android 7.1,5.2 inch Full HD scherm,32 GB opslagcapaciteit,198.0,Wileyfox Swift 2 X Blauw,4.5,307
Apple,iOS 11,"4,7 inch Retina HD scherm",256 GB opslagcapaciteit,949.0,Apple iPhone 8 256GB Space Grey,4.5,70
Samsung,Android 7.0 Nougat,5 inch HD scherm,16 GB opslagcapaciteit,199.0,Samsung Galaxy J3 (2017) Zwart,4.5,17
Samsung,Android 6.0 Marshmallow,"5,1 inch Quad HD scherm",32 GB opslagcapaciteit,479.0,Samsung Galaxy S7 Zilver,4.5,103
Apple,iOS 10,"4,7 inch Retina HD scherm",32 GB opslagcapaciteit,599.0,Apple iPhone 7 32GB Zilver,4.5,1049
Apple,iOS 9.3,4 inch Retina scherm,32 GB opslagcapaciteit,349.0,Apple iPhone SE 32GB Rose Gold,4.5,2030
Motorola,Android 7.1 Nougat,"5,2 inch Full HD scherm",32 GB opslagcapaciteit,229.0,Motorola Moto G5S Grijs,4.5,14
Huawei,Android 7.0 Nougat,"5,2 inch Full HD scherm",32 GB opslagcapaciteit,299.0,Huawei P10 Lite Blauw,4.5,159
CAT,Android 5.1 Lollipop,"4,5 inch scherm",8 GB opslagcapaciteit,164.49,CAT S30,4,115
CAT,Android 7.0 Nougat,5 inch Full HD scherm,32 GB opslagcapaciteit,449.0,CAT S41,4.5,15
Apple,iOS 9.3,4 inch Retina scherm,32 GB opslagcapaciteit,349.0,Apple iPhone SE 32GB Goud,4.5,2030
Samsung,Android 5.1 Lollipop,5 inch HD scherm,8 GB opslagcapaciteit,139.0,Samsung Galaxy J3 (2016) Goud,4.5,491
Samsung,Android 5.1 Lollipop,5 inch HD scherm,8 GB opslagcapaciteit,139.0,Samsung Galaxy J3 (2016) Wit,4.5,491
Motorola,Android 7.0 Nougat,5 inch HD scherm,16 GB opslagcapaciteit,119.0,Motorola Moto C Plus Zwart,4.5,19
Apple,iOS 11,"5,5 inch Retina HD scherm",64 GB opslagcapaciteit,899.0,Apple iPhone 8 Plus 64GB Goud,4.5,91
Samsung,Android 7.0 Nougat,"5,5 inch Full HD scherm",16 GB opslagcapaciteit,299.0,Samsung Galaxy J7 (2017) Dual Sim Zwart,4.5,29
Samsung,Android 6.0 Marshmallow,"4,7 inch HD scherm",16 GB opslagcapaciteit,269.0,Samsung Galaxy A3 (2017) Goud,4.5,348
Apple,iOS 10,"4,7 inch Retina HD scherm",32 GB opslagcapaciteit,599.0,Apple iPhone 7 32GB Rose Gold,4.5,1049
Apple,iOS 9,"4,7 inch Retina HD scherm",128 GB opslagcapaciteit,639.0,Apple iPhone 6s 128GB Space Gray,4.5,1228
Apple,iOS 11,"5,5 inch Retina HD scherm",256 GB opslagcapaciteit,1089.0,Apple iPhone 8 Plus 256GB Space Grey,4.5,91
Apple,iOS 9,"4,7 inch Retina HD scherm",32 GB opslagcapaciteit,529.0,Apple iPhone 6s 32GB Zilver,4.5,1228
Samsung,Android 6.0 Marshmallow,"5,1 inch Quad HD scherm",32 GB opslagcapaciteit,479.0,Samsung Galaxy S7 Wit,4.5,856
Samsung,Android 7.0 Nougat,"5,5 inch Full HD scherm",16 GB opslagcapaciteit,299.0,Samsung Galaxy J7 (2017) Dual Sim Goud,4.5,29
Samsung,Android 7.1 Nougat,"6,3 inch Quad HD scherm",64 GB opslagcapaciteit,949.0,Samsung Galaxy Note 8 Zwart,4.5,62
Wileyfox,Android 7.1,5 inch HD scherm,16 GB opslagcapaciteit,149.0,Wileyfox Swift 2 Blauw,4.5,120
Samsung,Android 7.1 Nougat,"5,2 inch HD scherm",16 GB opslagcapaciteit,249.0,Samsung Galaxy J5 (2017) Goud,4.5,52
Nokia,Android 7.1 Nougat,"5,2 inch HD scherm",16 GB opslagcapaciteit,199.0,Nokia 5 Zwart,4.5,51
Motorola,Android 7.1 Nougat,"5,2 inch Full HD scherm",64 GB opslagcapaciteit,379.99,Motorola Moto X4 Zwart,5,2
Motorola,Android 7.0 Nougat,"5,0 inch Full HD scherm",16 GB opslagcapaciteit,179.0,Motorola Moto G5 Goud,4.5,439
Apple,iOS 9.3,4 inch Retina scherm,128 GB opslagcapaciteit,469.0,Apple iPhone SE 128GB Zilver,4.5,2030
Samsung,Android 7.0 Nougat,"6,2 inch Quad HD scherm",64 GB opslagcapaciteit,799.0,Samsung Galaxy S8 Plus Zwart,5,282
Nokia,Merkgebonden besturingssysteem,"2,4 inch kleurenscherm",64 MB opslagcapaciteit,59.99,Nokia 3310 3G Blauw,4.5,13
Samsung,Android 7.0 Nougat,"6,2 inch Quad HD scherm",64 GB opslagcapaciteit,799.0,Samsung Galaxy S8 Plus Zwart,5,282
Apple,iOS 11,"5,5 inch Retina HD scherm",64 GB opslagcapaciteit,899.0,Apple iPhone 8 Plus 64GB Zilver,4.5,91
Samsung,Android 6.0 Marshmallow,"5,1 inch Quad HD scherm",32 GB opslagcapaciteit,479.0,Samsung Galaxy S7 Goud,4.5,856
Apple,iOS 9.3,4 inch Retina scherm,128 GB opslagcapaciteit,449.0,Apple iPhone SE 128GB Goud,4.5,2030
Motorola,Android 7.1 Nougat,"5,5 inch HD scherm",16 GB opslagcapaciteit,179.0,Motorola Moto E4 Plus Grijs,4.5,22
Apple,iOS 10,"4,7 inch Retina HD scherm",32 GB opslagcapaciteit,599.0,Apple iPhone 7 32GB Goud,4.5,1049
Huawei,Android 7.0 Nougat,"5,2 inch Full HD scherm",32 GB opslagcapaciteit,299.0,Huawei P10 Lite Goud,4.5,159
Apple,iOS 9,"4,7 inch Retina HD scherm",32 GB opslagcapaciteit,529.0,Apple iPhone 6s 32GB Rose Gold,4.5,1228
Sony,Android 7.0 Nougat,6 inch Full HD scherm,32 GB opslagcapaciteit,379.0,Sony Xperia XA1 Ultra Zwart,4.5,36
Nokia,Android 7.0 Nougat,5 inch HD scherm,16 GB opslagcapaciteit,149.0,Nokia 3 Zwart,4,34
Nokia,"2,4 inch-scherm",16 MB opslagcapaciteit,FM radio,49.95,Nokia 216 Zwart,4,18
Huawei,Android 6.0 Marshmallow,5 inch HD scherm,16 GB opslagcapaciteit,137.0,Huawei Y6 (2017) Goud,4.5,25
Samsung,Android 7.0 Nougat,5 inch HD scherm,16 GB opslagcapaciteit,199.0,Samsung Galaxy J3 (2017) Goud,4.5,17
